gold_label,sequence,attention_mask,token_type
neutral,[CLS] a human baby has 20 baby or milk teeth . [SEP] a human baby has a total of 100 baby or milk teeth . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] we have already extended to greece certain types of relief and economic aid but these are inadequate . [SEP] the greek government has been able to extend loans to greece in order to meet its debt obligations . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,[CLS] let one of our high energy disc jockey ##s entertain your next party . [SEP] you know what ' s even fun ##nier ? the fact that you have no friends at all . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] of cycle lanes . many motor ##ists already use this section of road as a ' rat run ' when the bypass is cong ##ested , and a lower speed limit together with cycle [SEP] of lane . a higher speed limit will only serve to encourage the use of this road by those who use it as a rat run , and a lower speed limit will not reduce speeds on this road . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] the jury heard the evidence presented , that he was general bad hat . [SEP] he ' s the guy who got fired . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] her to do any more work that night was an imp ##oss ##ibility ; she was on cloud nine ! remembers fen ##ia . "" jill was not only a genuine and natural warm [SEP] her to do any more work that night was an imp ##oss ##ibility ; she was on cloud nine ! remembers fen ##ia . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] and israel . since the 60 s , clinton ##s , as one of the leading law firms in the music industry , has represented artists in the pop , rock and classical [SEP] and israel , as one of the leading music companies in the world , has been an important supporter of israel ' s music industry [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] purse ##l tried to find a silver lining in his experiment gone wrong by claiming that the pig was lean ##er . [SEP] purse ##l tried to find a silver lining in his experiment gone wrong by claiming that the pig was more fat . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,[CLS] i had almost forgotten dressing as a sex bomb at the holiday camp . [SEP] that was a bad idea . i should never let that happen again . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] that same year the first camp ##es ##ino labor union was formed . [SEP] the camp ##es ##ino ##s were not happy about this , but they were also not willing to take drastic action , and they were not able to organize . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] be the product of capability and will , deter ##rence is a subject to which much lip service but insufficient thought has been devoted . the reason is that "" general "" deter ##rence [SEP] the product of a general deter ##rence policy is not a [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] to the night stop along the coast it was now getting dark and it was rush hour again ; by the time the traffic had cleared there were still 100 km ##s to [SEP] the night stop along the coast it was now getting dark and it was rush hour again ; by the time the traffic had cleared there were still 100 km ##s to [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,[CLS] but is the practice totally bad news for the local ph ##arm ##a companies or is there a silver lining ? [SEP] the local ph ##arm ##a companies have to compete with the global drug companies and they have to make sure that they are selling a high - quality drug . they can ' t just focus on quantity . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] and tickets for an air boat ride in the ever ##gl ##ades . wow ! still on cloud nine , the next morning i answered the phone to a man who quiz ##zed : "" [SEP] i ' m a writer , but this is not my day . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] the jury heard the evidence presented , that he was general bad hat . [SEP] the evidence presented , that he was general bad hat . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] are never implemented . redistribution of central funding from the church commissioners will be an acid test . secondly we have the habit of welcoming our pioneers in such a way as [SEP] they are given a free pass to do what they want , as the church does not interfere in the affairs of individuals . we are a free society , we have no need of the church ' s protection . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] an un ##sett ##led run of results and although they were never likely to be amongst the front runners this season it is something of a shock to see them hovering just above the [SEP] top three [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
entailment,[CLS] recently the globalization ad ##vers ##aries emerged ; the experts at the universities had to abandon their ivory towers and present their research at the market place in order to rebuild public confidence . [SEP] the global economy is in crisis and the experts at the universities have to abandon their ivory towers and present their research at the market place in order to rebuild public confidence [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] he gave me some spanish books and a pocket book and diary . [SEP] he gave me some books , some spanish books and a pocket diary . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] from the past . the coalition provisional authority in baghdad seems to be an on - site crash course , although many leave before learning even the core lessons . nato , meanwhile , [SEP] a military alliance , the only organisation that can guarantee the safety of the american people , and the protection of our freedoms . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,[CLS] the can makers have introduced three new slim size cans into the market place this year . [SEP] this is the first time i have heard of such a thing . it is very surprising . it is not like the other slim can . this one has a different size . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] minds . in the complete plain words , sir ernest go ##wer ##s quotes : the sacred cows have come home to ro ##ost with a vengeance as a stock example of the [SEP] minds . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
neutral,"[CLS] heights affair ' s ' dan ##cin ' ' . yet its hey ##day was down with the epoch ##al melting pot of punk / funk / art / jazz / dub / disco , and pat [SEP] heights is one of those places that has a certain charm and charm [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] all translators translate into mother tongue and live in - country . [SEP] all translators translate into mother tongue and live abroad . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
neutral,[CLS] how does it feel to experience a close call only to come out alive and kicking ? [SEP] it is a thrill that i will never forget . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] at an elementary school in trenton . i should have caught the mistake on that spelling bee card . but as mark twain once said , "" you should never trust a [SEP] i ' m not a fan of the term [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] . . . until the shen ##ani ##gan ##s of the abnormal ##ly res ##ili ##ent old woman put the couple through a crash course of bizarre and lunatic landlord obligations . our house is the hilarious new comedy about [SEP] the hilarious new comedy about a crazy old woman who rents her house out for a few months to people who are either insane or insane - is ##h . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] has been an acceptable out ##turn for this season for most of us since we hit rock bottom at x ##mas . some fans were talking about the club being relegated and being better [SEP] the club ' s fans have always been there for us , and we have to take that into consideration . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,[CLS] and starts processing my car rental . the rental cars are located in an adjacent parking lot just out side the main terminal building . no need wait for a bus to [SEP] or a taxi to get to the main terminal building to pick up my rental car . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] they need to get in touch with sc ##a - this year they will be white polo shirts , with the sc ##a hand on the back and your name and position on the [SEP] they will be wearing a sc ##a uniform , the sc ##a flag will be on the front of the polo shirts [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] you are have a passion for computers and an en ##qui ##ring mind is most certainly not rocket science , in other words , if you are content to click a mouse , and [SEP] then it is a matter of time until you become the best in the world [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] tim to act as "" deco ##y , "" or as tim puts it "" a sitting duck . "" the police guard is removed from tim to lure the crook ##s who arrive [SEP] tim is now the only one with the keys to the safe . tim has no choice but to act as a deco ##y [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] the news was cu ##lled initially from a news agency tel ##ep ##rin ##ter on the ship . [SEP] a news agency tel ##ep ##rin ##ter is a type of device used to receive and print news articles , and it is used on the uss enterprise - d in star trek : first contact . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] with nature lady ##birds ; they do n ' t make a meal of ap ##hid ##s u ##ea team on cloud nine com ##post is not just a load of old rubbish storm forecast ##s have real value volcanoes [SEP] the lady ##birds do not eat ap ##hid ##s u ##ea team on cloud nine com ##post is not just a load of old rubbish storm forecast ##s have real value volcanoes [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] route at the northern end of the city centre . in contrast in the morning rush hour , this leopard is on a short and loop ##ing round in the oct ##ago ##n . [SEP] the city is a maze of streets , with the oct ##ago ##n as its central landmark . the leopard has been on a loop ##ing round the oct ##ago ##n in the morning rush hour . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] previous years , brought only 18 players and this allowed them to stick to their game plan . this luxury was not on offer to our coaches john and mark and they [SEP] had no choice but to change the way they approached their match up . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
neutral,"[CLS] all of the tel ##cos in europe woke up in a sweat , realising that their cash cows were shrinking . any fixed minute growth was mainly down to internet dial ##up , but [SEP] the internet is also changing how people consume content . it ' s a lot easier for people to get their information and entertainment from a mobile device than from a desktop computer or tv set . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] at an elementary school in trenton . i should have caught the mistake on that spelling bee card . but as mark twain once said , "" you should never trust a [SEP] a woman in new york city who was a member of the national organization for women . i have a feeling i ' ll be hearing from her in the future . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,[CLS] we went to guernsey last september we were all deck ##ed out in a specific tour polo shirt . we looked the best team there and everyone knew who we were ( this [SEP] we went to guernsey last september we were all deck ##ed out in a specific tour polo shirt . we looked the best team there and everyone knew who we were ( this ) [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] must have excellent nu ##mer ##acy skills , with good attention to detail and be used to number crunch ##ing as sales analysis will be involved . good spelling and grammar skills are essential . [SEP] must be able to communicate clearly in english and be able to communicate effectively in written and verbal communications . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,[CLS] they posted the letter on the lime tree trunk . [SEP] i don ' t understand what you are talking about . what the hell is going on here ? i don ' t even know where this is . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] as experienced and weave ##d together by a lone and qui ##rky bell ##hop on his first graveyard shift . utilizing visual satire to depict five revolving sc ##ena ##ros , director robb ##y d engages all [SEP] a few years after the events of [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
contradiction,"[CLS] the remains of an iron ring to which a chain and iron collar would have been attached . [SEP] an ancient , long - forgotten , metal - rich city in what used to be a forest . a city that is not there . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] in this way , the vest resembles a typical ' life vest ' used by boat ##ers . [SEP] it ' s not really like a life vest . it looks like a regular shirt with a small hole cut into it . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] if you ' re an old - timer , you might remember some of these events , perhaps in their european parallels . [SEP] it was the first day of my new job as a software developer in silicon valley and the first time i ' d ever seen a computer . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
